 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : newInstance | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : newInstance | Cyclomatic complexity : 1 | Parameters : [final byte x]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : newInstance | Cyclomatic complexity : 1 | Parameters : [final int x]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : newInstance | Cyclomatic complexity : 1 | Parameters : [final long x]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : newInstance | Cyclomatic complexity : 1 | Parameters : [final double x]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : newInstance | Cyclomatic complexity : 3 | Parameters : [final Dfp d]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : newInstance | Cyclomatic complexity : 1 | Parameters : [final String s]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : newInstance | Cyclomatic complexity : 1 | Parameters : [final byte sig, final byte code]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : getField | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : getRadixDigits | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : getZero | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : getOne | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : getTwo | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : shiftLeft | Cyclomatic complexity : 2 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : shiftRight | Cyclomatic complexity : 2 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : align | Cyclomatic complexity : 21 | Parameters : [int e]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : lessThan | Cyclomatic complexity : 6 | Parameters : [final Dfp x]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : greaterThan | Cyclomatic complexity : 6 | Parameters : [final Dfp x]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : negativeOrNull | Cyclomatic complexity : 4 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : strictlyNegative | Cyclomatic complexity : 4 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : positiveOrNull | Cyclomatic complexity : 4 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : strictlyPositive | Cyclomatic complexity : 4 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : abs | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : isInfinite | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : isNaN | Cyclomatic complexity : 2 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : isZero | Cyclomatic complexity : 3 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : equals | Cyclomatic complexity : 5 | Parameters : [final Object other]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : hashCode | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : unequal | Cyclomatic complexity : 5 | Parameters : [final Dfp x]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : compare | Cyclomatic complexity : 21 | Parameters : [final Dfp a, final Dfp b]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : rint | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : floor | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : ceil | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : remainder | Cyclomatic complexity : 3 | Parameters : [final Dfp d]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : trunc | Cyclomatic complexity : 21 | Parameters : [final DfpField.RoundingMode rmode]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : intValue | Cyclomatic complexity : 5 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : log10K | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : power10K | Cyclomatic complexity : 1 | Parameters : [final int e]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : intLog10 | Cyclomatic complexity : 4 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : power10 | Cyclomatic complexity : 5 | Parameters : [final int e]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : complement | Cyclomatic complexity : 3 | Parameters : [int extra]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : add | Cyclomatic complexity : 41 | Parameters : [final Dfp x]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : negate | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : subtract | Cyclomatic complexity : 1 | Parameters : [final Dfp x]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : round | Cyclomatic complexity : 27 | Parameters : [int n]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : multiply | Cyclomatic complexity : 32 | Parameters : [final Dfp x]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : multiply | Cyclomatic complexity : 3 | Parameters : [final int x]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : multiplyFast | Cyclomatic complexity : 16 | Parameters : [final int x]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : divide | Cyclomatic complexity : 49 | Parameters : [Dfp divisor]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : divide | Cyclomatic complexity : 13 | Parameters : [int divisor]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : reciprocal | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : sqrt | Cyclomatic complexity : 24 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : toString | Cyclomatic complexity : 7 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : dfp2sci | Cyclomatic complexity : 11 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : dfp2string | Cyclomatic complexity : 11 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : dotrap | Cyclomatic complexity : 15 | Parameters : [int type, String what, Dfp oper, Dfp result]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : trap | Cyclomatic complexity : 1 | Parameters : [int type, String what, Dfp oper, Dfp def, Dfp result]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : classify | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : copySign | Cyclomatic complexity : 1 | Parameters : [final Dfp x, final Dfp y]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : nextAfter | Cyclomatic complexity : 16 | Parameters : [final Dfp x]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : toDouble | Cyclomatic complexity : 17 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : toSplitDouble | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : getReal | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : add | Cyclomatic complexity : 1 | Parameters : [final double a]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : subtract | Cyclomatic complexity : 1 | Parameters : [final double a]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : multiply | Cyclomatic complexity : 1 | Parameters : [final double a]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : divide | Cyclomatic complexity : 1 | Parameters : [final double a]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : remainder | Cyclomatic complexity : 1 | Parameters : [final double a]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : round | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : signum | Cyclomatic complexity : 3 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : copySign | Cyclomatic complexity : 5 | Parameters : [final Dfp s]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : copySign | Cyclomatic complexity : 5 | Parameters : [final double s]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : scalb | Cyclomatic complexity : 1 | Parameters : [final int n]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : hypot | Cyclomatic complexity : 1 | Parameters : [final Dfp y]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : cbrt | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : rootN | Cyclomatic complexity : 1 | Parameters : [final int n]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : pow | Cyclomatic complexity : 1 | Parameters : [final double p]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : pow | Cyclomatic complexity : 1 | Parameters : [final int n]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : pow | Cyclomatic complexity : 1 | Parameters : [final Dfp e]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : exp | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : expm1 | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : log | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : log1p | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : log10 | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : cos | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : sin | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : tan | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : acos | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : asin | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : atan | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : atan2 | Cyclomatic complexity : 2 | Parameters : [final Dfp x]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : cosh | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : sinh | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : tanh | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : acosh | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : asinh | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : atanh | Cyclomatic complexity : 1 | Parameters : []
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : linearCombination | Cyclomatic complexity : 3 | Parameters : [final Dfp[] a, final Dfp[] b]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : linearCombination | Cyclomatic complexity : 3 | Parameters : [final double[] a, final Dfp[] b]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : linearCombination | Cyclomatic complexity : 1 | Parameters : [final Dfp a1, final Dfp b1, final Dfp a2, final Dfp b2]
 | Package name : [org.apache.commons.math4.legacy.core.dfp] | Class : Optional.empty | Method name : linearCombination | Cyclomatic complexity : 1 | Parameters : [final double a1, final Dfp b1, final double a2, final Dfp b2]
